touchpoint_id,opp_id,lead_id,touch_sequence,total_touches_in_journey,touch_date,days_before_opp_creation,channel,campaign,touch_type,landing_page,content_asset_id,engagement_score,is_first_touch,is_last_touch,true_marginal_contribution,attributed_revenue_brl
TP-0000001,OPP-00001,LEAD-000007,1,3,2022-11-30,42,direct,,click,/lp/roi-calculator,AST-0018,34,1,0,0.009223,314.49
TP-0000002,OPP-00001,LEAD-000007,2,3,2022-12-14,28,direct,(not set),form_fill,/webinar/crm-para-gestores,AST-0013,92,0,0,0.070709,2411.18
TP-0000003,OPP-00001,LEAD-000007,3,3,2023-01-08,3,direct,,demo_request,/produto/crm-integracao,AST-0019,87,0,1,0.920068,31374.33
TP-0000004,OPP-00002,LEAD-000011,1,2,2022-11-28,41,meta_ads,fb-leads-varejo-2022,impression,/produto/crm-integracao,AST-0019,13,1,0,0.037626,827.77
TP-0000005,OPP-00002,LEAD-000011,2,2,2022-12-26,13,meta_ads,facebook_retargeting_2022,click,/lp/demo-gratis,AST-0015,26,0,1,0.962374,21172.23
TP-0000006,OPP-00003,LEAD-000015,1,5,2022-12-20,23,organic_search,,impression,/blog/funil-vendas-complexas,AST-0006,1,1,0,0.029795,4412.7
TP-0000007,OPP-00003,LEAD-000015,2,5,2022-12-22,21,meta_ads,fb-leads-varejo-2022,click,/ebook/gestao-pipeline-vendas,AST-0009,27,0,0,0.079318,11746.92
TP-0000008,OPP-00003,LEAD-000015,3,5,2022-12-25,18,meta_ads,ig_gestores_b2b_q4,content_view,/produto/erp-connector,AST-0020,27,0,0,0.13103,19405.55
TP-0000009,OPP-00003,LEAD-000015,4,5,2022-12-29,14,meta_ads,facebook_retargeting_2022,form_fill,/blog/churn-saas-brasil,AST-0005,76,0,0,0.479499,71013.82
TP-0000010,OPP-00003,LEAD-000015,5,5,2023-01-03,9,meta_ads,ig_gestores_b2b_q1,click,/ebook/crm-para-varejo,AST-0008,19,0,1,0.280358,41521.01
TP-0000011,OPP-00004,LEAD-000016,1,5,2022-12-10,43,direct,,click,/produto/api-marketplace,AST-0021,42,1,0,0.01278,1293.29
